Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
11/03/2018,Bun Thit Nuong,Breakfast,1.0,Serving,500,17,22,33,3,0,n/a,36,900
11/02/2018,"Egg, Fried, Large",Breakfast,48.0,Grams,94,7.35,6.54,0.43,2.6,0.40,0,219.36,97.92
11/02/2018,Boiled Water Spinach,Breakfast,50.0,Grams,8,0.35,0.85,0.20,0.27,0.10,1.15,n/a,23.50
11/02/2018,"Fish Ball, Asian Style, Cooked",Breakfast,100.0,Grams,76,0.80,12.30,4.50,0.20,1.40,0,72,650
11/02/2018,"Spinach, Baby, Boiled in Unsalted Water",Breakfast,200.0,Grams,40,2,6,0,0,0,2,0,84
11/02/2018,"Nuts, Peanuts, Dry Roasted",Breakfast,10.0,Grams,57,5,2.50,1.79,0.71,0.71,0.71,0,67.86
11/02/2018,"Chinese, Dish, Dumpling, Steamed, Shumai",Breakfast,333.0,Grams,374,9.51,25.37,47.57,3.17,0,3.17,82.46,1303.46
11/02/2018,"Egg, Fried, Large",Lunch,48.0,Grams,94,7.35,6.54,0.43,2.6,0.40,0,219.36,97.92
11/02/2018,Boiled Water Spinach,Lunch,50.0,Grams,8,0.35,0.85,0.20,0.27,0.10,1.15,n/a,23.50
11/02/2018,"Fish Ball, Asian Style, Cooked",Lunch,100.0,Grams,76,0.80,12.30,4.50,0.20,1.40,0,72,650
11/02/2018,"Spinach, Baby, Boiled in Unsalted Water",Lunch,200.0,Grams,40,2,6,0,0,0,2,0,84
11/02/2018,"Chinese, Dish, Dumpling, Steamed, Shumai",Lunch,200.0,Grams,225,5.71,15.24,28.57,1.90,0,1.90,49.52,782.86
11/02/2018,Fried Rice,Dinner,200.0,Grams,367,9.17,6.35,64.20,1.41,3.53,0.71,0,606.70
11/02/2018,"Fish, Spanish Mackerel, Cooked",Dinner,100.0,Grams,158,6.32,23.59,0,1.80,0,0,73,66
11/02/2018,"Pork Chop, Center Loin, Cooked",Dinner,100.0,Grams,209,11.6,25.61,0,3.51,0,0,84,55
11/02/2018,Beer,Dinner,0.5,Liter,216,0,2.31,17.81,0,0,0,0,20.6
11/02/2018,Prawn Crackers,Snacks,1.0,Serving,100,4,1,14,1.50,0,1,0,240
11/01/2018,"Sausage, Bratwurst, Pork, Cooked",Breakfast,165.0,Grams,549,48.15,22.64,4.70,16.48,0,0,122.10,1395.90
11/01/2018,"Shrimp, Breaded Fried",Breakfast,2.0,Each,36,1.84,3.21,1.72,0.31,0,0.6,26.55,51.60
11/01/2018,"Broccoli, Chopped, Cooked",Breakfast,80.0,Grams,28,0.33,1.90,5.74,0.6,1.11,2.64,0,32.80
11/01/2018,"Egg, Fried, Large",Breakfast,50.0,Grams,98,7.66,6.81,0.45,2.15,0.42,0,228.50,102
11/01/2018,"Sausage, Bratwurst, Pork, Cooked",Lunch,165.0,Grams,549,48.15,22.64,4.70,16.48,0,0,122.10,1395.90
11/01/2018,"Shrimp, Breaded Fried",Lunch,2.0,Each,36,1.84,3.21,1.72,0.31,0,0.6,26.55,51.60
11/01/2018,"Broccoli, Chopped, Cooked",Lunch,80.0,Grams,28,0.33,1.90,5.74,0.6,1.11,2.64,0,32.80
11/01/2018,"Egg, Fried, Large",Lunch,50.0,Grams,98,7.66,6.81,0.45,2.15,0.42,0,228.50,102
11/01/2018,Cheese Wafer,Snacks,3.0,Servings,120,4.50,3,18,3,6,n/a,n/a,n/a
11/01/2018,Cafe Sữa Đá,Snacks,1.0,Serving,250,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
11/01/2018,Prawn Crackers,Snacks,2.0,Servings,200,8,2,28,3,0,2,0,480
11/01/2018,Banana,Snacks,100.0,Grams,95,0.30,1.20,23.20,0.10,20.90,1.10,n/a,1
10/31/2018,"Chicken, Leg, w/ Skin, Cooked",Breakfast,202.0,Grams,469,27.19,52.44,0,7.51,0,0,185.84,175.74
10/31/2018,"Lotus Root, Cooked",Breakfast,110.0,Grams,73,0.8,1.74,17.62,0.2,0.55,3.41,0,49.50
10/31/2018,"Egg, Fried, Large",Breakfast,41.0,Grams,80,6.28,5.58,0.37,1.76,0.34,0,187.37,83.64
10/31/2018,Chinese Wax Gourd Or Winter Melon,Breakfast,200.0,Grams,24,0.40,0.80,5.20,n/a,n/a,1.40,n/a,3.60
10/31/2018,"Lotus Root, Cooked",Lunch,100.0,Grams,66,0.7,1.58,16.2,0.2,0.50,3.10,0,45
10/31/2018,"Chicken, Leg, w/ Skin, Cooked",Lunch,200.0,Grams,464,26.92,51.92,0,7.44,0,0,184,174
10/31/2018,"Egg, Fried, Large",Lunch,50.0,Grams,98,7.66,6.81,0.45,2.15,0.42,0,228.50,102
10/31/2018,Chinese Wax Gourd Or Winter Melon,Lunch,150.0,Grams,18,0.30,0.60,3.90,n/a,n/a,1.5,n/a,2.70
10/31/2018,Vietnamese Mi Hoanh Thanh (Wonton) Noodle Soup,Dinner,1.0,Serving,400,6,38,52,1,8,6,260,2032
10/31/2018,"Banana, Medium, 7"" - 7 7/8"" Long",Snacks,126.0,Grams,112,0.42,1.37,28.78,0.14,15.41,3.28,0,1.26
10/31/2018,"Nuts, Peanuts, Dry Roasted",Snacks,30.0,Grams,171,15,7.50,5.36,2.14,2.14,2.14,0,203.57
10/31/2018,Prawn Crackers,Snacks,1.0,Serving,100,4,1,14,1.50,0,1,0,240
10/31/2018,Cheese Wafer,Snacks,3.0,Servings,120,4.50,3,18,3,6,n/a,n/a,n/a
