Date,Budget,Steps
08/29/18,1724,3039
08/30/18,1729,8421
08/31/18,1722,2934
09/01/18,1718,15930
09/02/18,1734,1352
09/03/18,1734,1580
09/04/18,1734,7751
09/05/18,1724,3249
09/06/18,1721,14613
09/07/18,1719,9433
09/08/18,1734,13562
09/09/18,1734,18976
09/10/18,1715,3089
09/11/18,1721,15179
09/12/18,1721,1713
09/13/18,1721,14520
09/14/18,1721,3242
09/15/18,1721,1388
09/16/18,1721,20938
09/17/18,1721,1712
09/18/18,1721,10007
09/19/18,1721,2271
09/20/18,1721,13052
09/21/18,1721,3768
09/22/18,1709,1206
09/23/18,1706,18921
09/24/18,1711,2531
09/25/18,1722,7461
09/26/18,1724,2533
09/27/18,1716,13521
09/28/18,1708,2206
09/29/18,1703,1925
09/30/18,1709,17744
10/01/18,1715,2278
10/02/18,1703,11807
10/03/18,1703,2872
10/04/18,1703,10246
10/05/18,1703,2359
10/06/18,1703,2138
10/07/18,1703,18902
10/08/18,1703,1479
10/09/18,1703,12432
10/10/18,1703,2996
10/11/18,1703,9236
10/12/18,1703,2613
10/13/18,1718,1901
10/14/18,1722,18482
10/15/18,1721,2829
10/16/18,1709,13619
10/17/18,1705,3072
10/18/18,1709,11419
10/19/18,1721,2148
10/20/18,1709,2689
10/21/18,1709,18116
10/22/18,1703,2730
10/23/18,1706,13154
10/24/18,1686,2096
10/25/18,1682,10449
10/26/18,1683,2001
10/27/18,1695,3279
10/28/18,1709,17143
10/29/18,1705,2222
10/30/18,1711,13482
10/31/18,1692,2521
11/01/18,1703,13684
11/02/18,1845,2903
