date,weight
2018-08-14,79.0
2018-08-16,79.0
2018-08-18,79.0
2018-08-24,78.8
2018-08-29,78.5
2018-08-30,78.9
2018-08-31,78.4
2018-09-01,78.1
2018-09-04,79.2
2018-09-05,78.5
2018-09-06,78.3
2018-09-07,78.2
2018-09-10,77.9
2018-09-11,78.9
2018-09-12,78.8
2018-09-13,79.2
2018-09-14,78.6
2018-09-15,79.1
2018-09-16,79.1
2018-09-17,79.0
2018-09-18,79.5
2018-09-19,79.0
2018-09-20,78.5
2018-09-21,77.9
2018-09-22,77.5
2018-09-23,77.3
2018-09-24,77.6
2018-09-25,78.4
2018-09-26,78.5
2018-09-27,78.0
2018-09-28,77.4
2018-09-29,77.1
2018-09-30,77.5
2018-10-01,77.9
2018-10-02,77.5
2018-10-03,76.8
2018-10-04,76.7
2018-10-05,76.3
2018-10-06,77.2
2018-10-08,77.3
2018-10-09,78.6
2018-10-10,77.6
2018-10-11,78.4
2018-10-12,77.6
2018-10-13,78.1
2018-10-14,78.4
2018-10-15,78.3
2018-10-16,77.5
2018-10-17,77.2
2018-10-18,77.5
2018-10-21,77.5
2018-10-22,77.1
2018-10-23,77.3
2018-10-24,75.9
2018-10-25,75.6
2018-10-26,75.7
2018-10-27,76.5
2018-10-29,77.2
2018-10-30,77.6
2018-10-31,76.3
2018-11-01,77.1
2018-11-02,76.9
2018-11-03,77.8
